client_name,client_version_from,client_version_to,release_order,num_commits,insertions,deletions,lines,files,self_driven_sdr
angular-mocks,1.2.18,1.2.19,1,28,966,507,1473,50,FALSE
angular-mocks,1.2.19,1.2.20,2,231,7438,2998,10436,459,FALSE
angular-mocks,1.2.20,1.2.21,3,1,15,10,25,1,TRUE
angular-mocks,1.2.21,1.2.22,4,1,15,10,25,1,TRUE
angular-mocks,1.2.22,1.2.25,5,437,63227,9484,72711,1581,FALSE
angular-mocks,1.2.25,1.2.27,6,356,15710,7879,23589,2441,FALSE
angular-mocks,1.2.27,1.2.28,7,155,9891,5783,15674,505,FALSE
angular-mocks,1.2.28,1.2.29,8,865,87771,42354,130125,3596,FALSE
angular-mocks,1.2.29,1.2.30,9,838,211864,61748,273612,3704,FALSE
angular-mocks,1.2.30,1.2.31,10,156,29113,24836,53949,903,FALSE
angular-mocks,1.2.31,1.2.32,11,2,44,37,81,6,TRUE
angular-mocks,1.3.0-rc.5,1.3.0,13,69,2762,717,3479,138,FALSE
angular-mocks,1.3.0,1.3.1,14,112,5523,4698,10221,1943,FALSE
angular-mocks,1.3.1,1.3.2,15,32,1013,160,1173,52,FALSE
angular-mocks,1.3.2,1.3.3,16,51,1815,800,2615,125,FALSE
angular-mocks,1.3.3,1.3.4-build.3588,17,14,336,61,397,18,FALSE
angular-mocks,1.3.4-build.3588,1.3.4,18,36,7044,4546,11590,316,FALSE
angular-mocks,1.3.4,1.3.5,19,29,444,146,590,39,FALSE
angular-mocks,1.3.5,1.3.6,20,53,1859,946,2805,97,FALSE
angular-mocks,1.3.6,1.3.7,21,37,523,146,669,53,FALSE
angular-mocks,1.3.7,1.3.8,22,26,281,118,399,30,FALSE
angular-mocks,1.3.8,1.3.9,23,69,11342,10014,21356,125,FALSE
angular-mocks,1.3.9,1.3.10,24,30,405,102,507,41,FALSE
angular-mocks,1.3.10,1.3.11,25,22,484,253,737,40,FALSE
angular-mocks,1.3.11,1.3.12,26,45,4716,1099,5815,119,FALSE
angular-mocks,1.3.12,1.3.13,27,11,309,29,338,19,FALSE
angular-mocks,1.3.13,1.3.14,28,51,15972,3957,19929,74,FALSE
angular-mocks,1.3.14,1.3.15,29,82,14992,3046,18038,1617,FALSE
angular-mocks,1.3.15,1.3.16,30,208,23892,13853,37745,436,FALSE
angular-mocks,1.3.16,1.3.17,31,66,2380,1433,3813,104,FALSE
angular-mocks,1.3.17,1.3.18,32,109,6276,5861,12137,694,FALSE
angular-mocks,1.3.18,1.3.19,33,82,2580,1130,3710,170,FALSE
angular-mocks,1.3.19,1.3.20,34,65,4164,1459,5623,128,FALSE
angular-mocks,1.4.0-beta.0,1.4.0-beta.1,36,30,405,102,507,41,FALSE
angular-mocks,1.4.0-beta.1,1.4.0-beta.2,37,22,484,253,737,40,FALSE
angular-mocks,1.4.0-beta.2,1.4.0-beta.3,38,45,4716,1099,5815,119,FALSE
angular-mocks,1.4.0-beta.3,1.4.0-beta.4,39,12,310,30,340,20,FALSE
angular-mocks,1.4.0-beta.4,1.4.0-beta.5,40,50,15971,3956,19927,73,FALSE
angular-mocks,1.4.0-beta.5,1.4.0-beta.6,41,78,14819,3025,17844,1611,FALSE
angular-mocks,1.4.0-beta.6,1.4.0-rc.0,42,61,17140,10853,27993,159,FALSE
angular-mocks,1.4.0-rc.0,1.4.0-rc.1,43,34,1986,484,2470,91,FALSE
angular-mocks,1.4.0-rc.1,1.4.0-rc.2,44,57,1524,379,1903,97,FALSE
angular-mocks,1.4.0-rc.2,1.4.0,45,21,2840,2065,4905,43,FALSE
angular-mocks,1.4.0,1.4.1,46,70,2123,903,3026,96,FALSE
angular-mocks,1.4.1,1.4.2,47,35,832,623,1455,60,FALSE
angular-mocks,1.4.2,1.4.3,48,15,271,22,293,20,FALSE
angular-mocks,1.4.3,1.4.4,49,86,5627,5745,11372,662,FALSE
angular-mocks,1.4.4,1.4.5,50,26,1300,683,1983,70,FALSE
angular-mocks,1.4.5,1.4.6,51,65,1660,543,2203,113,FALSE
angular-mocks,1.4.6,1.4.7,52,64,4162,1457,5619,127,FALSE
angular-mocks,1.4.7,1.4.8,53,117,13248,2110,15358,182,FALSE
angular-mocks,1.4.8,1.4.9,54,178,20362,4377,24739,1070,FALSE
angular-mocks,1.4.9,1.4.10,55,177,17239,15535,32774,1094,FALSE
angular-mocks,1.4.10,1.4.11,56,209,142640,26689,169329,1035,FALSE
angular-mocks,1.4.11,1.4.12,57,72,9239,6360,15599,116,FALSE
angular-mocks,1.4.12,1.4.13,58,240,38227,31513,69740,1109,FALSE
angular-mocks,1.4.13,1.4.14,59,3,66,37,103,7,TRUE
angular-mocks,1.5.0-beta.0,1.5.0-beta.2,61,174,16908,3305,20213,294,FALSE
angular-mocks,1.5.0-beta.2,1.5.0-rc.0,62,65,12306,845,13151,821,FALSE
